verb,verbs,nouns
revisit,"['revisit', 'revisits']","['interest', 'subjectin', 'year', 'role', 'mixture', 'decision', 'shops', 'facts', 'issue', 'tapes']"
hop,"['hop', 'hoped']","['players', 'rider', 'brother', 'president', 'selectors', 'ministers']"
utilise,"['utilise', 'utilised']","['technology', 'option', 'nouse', 'software', 'experience', 'capability', 'tools', 'balances', 'programme']"
demonize,"['demonize', 'demonized']","['anyone', 'whom', 'turbines']"
reassess,"['reassess', 'reassessing']","['security', 'outlook']"
marginalize,"['marginalize', 'marginalizes', 'marginalized']","['extremists', 'revolution', 'currents', 'disagreements', 'workers']"
revolt,"['revolt', 'revolted']","['people', 'citizens', 'instinct']"
wind,"['wind', 'winds']","['way', 'tonight', 'money']"
vary,"['vary', 'varying']","['laws', 'level', 'velocity']"
fit,"['fit', 'fits']","['sizes', 'criteria', 'families', 'brief', 'bill', 'sense', 'sky', 'needs', 'description', 'forms', 'mold', 'level', 'lexicon', 'barrels', 'engine', 'progression', 'user', 'peg', 'shape', 'observations', 'behaviour', 'guidelines', 'comments', '%', 'paradigm', 'detail', 'pickguard', 'type', 'demographic', 'pocket', 'people', 'space', 'times', 'perfectly', 'year', 'concept', 'coat', 'wavelength', 'beliefs', 'game', 'country', 'thesis', 'agenda', 'everything', 'functions', 'lifestyle']"
fix,"['fix', 'fixed']","['car', 'things', 'democracy', 'love', 'deficits', 'economy', 'problems', 'problem', 'issue', 'amount', 'line', 'eyes', 'issues', 'box', 'power', 'boat', 'culture', 'schools', 'leaders', 'roads', 'mess', 'prayer', 'reward', 'mountains', 'mind', 'factors', 'everything', 'frequency', 'cop', 'stare', 'v', 'analysis', 'bit', 'semantics']"
secede,"['secede', 'seceded']","['state', 'borders', 'people']"
undercut,"['undercut', 'undercuts']","['influence', 'sincerity']"
enrich,"['enrich', 'enriching']","['experience', 'anybody', 'discussion', 'relationships', 'uranium', 'lives']"
commemorate,"['commemorate', 'commemorates', 'commemorating']","['anniversary', 'nation', 'service', 'completion']"
interrupt,"['interrupt', 'interrupts']","['current', 'men', 'peace', 'call', 'nastja', 'singing', 'replies']"
ameliorate,"['ameliorate', 'ameliorating']","['care', 'difficulties', 'condition', 'abuse']"
waive,"['waive', 'waives', 'waiving']","['failure', 'right', 'term', 'rights', 'charges', 'player', 'obligation']"
re,"['re', 'ring']","['users', 're', 'borders', 'theater', 'victim', 'penniless', 'tollbooth', 'obsession', 'position', 'bells']"
encourage,"['encourage', 'encourages', 'encouraged']","['parents', 'child', 'attitude', 'understanding', 'brethren', 'entrepreneurship', 'students', 'factions', 'politicians', 'others', 'investment', 'government', 'companies', 'name', 'killing', 'research', 'friends', 'friend', 'phenomena', 'businesses', 'diversity', 'innovation', 'liberty', 'reflection', 'collaboration', 'range', 'subscribers', 'rates', 'testing', 'abortions', 'creativity', 'attention', 'culture', 'resolution', 'teens', 'step', 'breakfast', 'links', 'confidence', 'symbolise', 'ideas', 'children', 'vision', 'everyone', 'contracts', 'use', 'interaction', 'saving', 'people', 'sofas', 'loafing', 'generation', 'climate', 'reading', 'booking', 'participation', 'farmers', 'synergy', 'charity', 'control', 'chief', 'company', 'sort', 'audiences', 'values', 'bullying', 'legislation', 'acos', 'development', 'crime', 'enemy', 'system', 'childish', 'networks', 'monk', 'visitors', 'users', 'participant', 'police', 'innovations', 'bands', 'traders', 'settlement', 'father', 'daughters', 'teams', 'steps', 'son', 'help', 'influx', 'destruction', 'family', 'citizens', 'content', 'implementers', 'lot', 'type', 'man', 'style', 'mother', 'organizations', 'example', 'members', 'landowners', 'singers']"
adapt,"['adapt', 'adapting']","['comics', 'staff', 'humans', 'algorithm', 'bowlers', 'quicks', 'time', 'work', 'approach', 'structure']"
estimate,"['estimate', 'estimates', 'estimating']","['analysts', 'costs', 'correlation', 'year', 'users', 'penalty', 'experts', 'amount', 'scientists', 'forecasters', 'deaths', 'economy', 'households', 'bill', 'study', 'gradients']"
bookmark,"['bookmark', 'bookmarking']","['portion', 'post']"
symbolize,"['symbolize', 'symbolizing']","['essence', 'ability', 'time']"
wash,"['wash', 'washed']","['hands', 'beads', 'game', 'days', 'servant', 'bride', 'body', 'times', 'machine', 'people', 'shade', 'face', 'day', 'traveler', 'dishes']"
instruct,"['instruct', 'instructed']","['bowlers', 'men', 'science', 'king', 'brethren', 'officials', 'crew']"
service,"['service', 'serviced']","['outfit', 'government', 'debts', 'needs', 'retreat', 'morning', 'funds']"
master,"['master', 'mastered']","['art', 'mazes', 'contents', 'species', 'syntax', 'machine', 'mroe', 'game', 'math', 'skill', 'kissing', 'wall', 'basics', 'aspects']"
listen,"['listen', 'listened']","['scores', 'everyone', 'advice', 'people', 'marriage']"
collapse,"['collapse', 'collapses', 'collapsed']","['window', 'people', 'government', 'fuels', 'demand', 'banks', 'civilization', 'economies', 'revenue', 'spending', 'empire', 'thing', 'production', 'lung', 'chimneys', 'fire', 'markets', 'ussr', 'alliance']"
crawl,"['crawl', 'crawling']","['system', 'game', 'indexing', 'document', 'something', 'arm']"
outlaw,"['outlaw', 'outlawed']","['shoots', 'procedures', 'slavery', 'government', 'practices', 'miracles']"
project,"['project', 'projecting']","['image', 'people', 'studies', 'anyone', 'pattern', 'ray', 'trends', 'inches']"
endure,"['endure', 'endures', 'enduring']","['darkness', 'pain', 'kinds', 'suffering', 'discourses', 'others', 'losses', 'strains', 'conditions', 'disappointment', 'things', 'life', 'extremes']"
entail,"['entail', 'entailed']","['elimination', 'term', 'production', 'fact', 'revolution', 'emissions', 'upgrading', 'veneration', 'services', 'labour', 'album', 'change']"
object,"['object', 'objecting']","['employers', 'birth', 'people', 'pms', 'party']"
reverence,"['reverence', 'reverencing']","['sanctuary', 'part']"
gauge,"['gauge', 'gauged']","['opinions', 'reaction', 'support', 'success', 'tests', 'amounts', 'opportunities', 'm', 'idea']"
participate,"['participate', 'participates', 'participated']","['children', 'people', 'combatants', 'hotels', 'coptics', 'individuals', 'members', 'countries', 'blog', 'consumers', 'women', 'visitors', 'artists', 'victims', 'times', 'ships', 'student']"
headline,"['headline', 'headlined']","['show', 'event', 'evening', 'jet', 'series', 'cash', 'm']"
bust,"['bust', 'busted']","['pupils', 'behind', 'feelings', 'ass', 'day', 'chair', 'niggas', 'tryna']"
mend,"['mend', 'mending']","['ways', 'heart', 'relationships']"
relish,"['relish', 'relishing']","['chance', 'killer', 'message', 'chaos']"
release,"['release', 'releases', 'releasing']","['distractions', 'necks', 'pressure', 'people', 'game', 'cells', 'chemicals', 'version', 'results', 'minerals', 'water', 'mine', 'levels', 'company', 'os', 'years', 'returns', 'citation', 'product', 'key', 'report', 'album', 'cd', 'man', 'seals', 'tool', 'music', 'information', 'keys', 'press', 'damage', 'troponin', 'hen', 'yolks', 'hormones', 'band', 'maize', 'control', 'tranche', 'scores', 'handbrake', 'films', 'versions', 'carbon', 'taxes', 'tax', 'button', 'plans', 'book', 'news', 'prisoners', 'number']"
hasten,"['hasten', 'hastened']","['men', 'end', 'drain', 'disappointment', 'death', 'encounter']"
respond,"['respond', 'responds']","['subjects', 'defendant', 'people', 'lips', 'businesses', 'needs', 'organizations', 'feedback', 't', 'defender', 'time', 'ministry', 'applications', 'agent', 'firms', 'animals', 'solutions', 'individuals', 'spokesperson', 'minister', 'mate', 'business', 'wants', 'somebody', 'economy', 'prices', 'emergencies']"
recruit,"['recruit', 'recruiting']","['help', 'police', 'men', 'others', 'volunteers', 'troops', 'ceo', 'player', 'banks', 'people', 'students']"
result,"['result', 'resulting']","['kamma', 'conditions', 'continuation', 'accusations', 'operates', 'pregnancy', 'operation', 'tactics', 'diligence', 'change', 'slowdown', 'summarization', 'argument', 'statute', 'constructor', 'selections', 'package', 'challenge', 'sins', 'act', 'decision', 'cognitions', 'riots', 'honesty', 'plenty']"
fail,"['fail', 'fails']","['time', 'child', 'knowledge', 'mind', 'person', 'recommendations', 'tasks', 'models', 'brahmacharya', 'epls', 'predictions', 'government', 'ideas', 'explanations', 'pollsters', 'analysts', 'fail', 'organizations', 'class', 'read', 'alliance', 'figures', 'journalist', 'journalists', 'economics', 'book', 'people', 'effort', 'wolves', 'products', 'business', 'society', 'clock', 'topic', 'committee', 'e', 'show', 'interest', 'test', 'art', 'bank', 'app', 'image', 'trader', 'tests', 'petitioner', 'movie', 'directive', 'humanity', 'choice', 'conversion', 'heuristic', 'strptime']"
preserve,"['preserve', 'preserves', 'preserving']","['beauty', 'collections', 'nobility', 'honor', 'unity', 'collection', 'position', 'copy', 'interests', 'sovereignty', 'decency', 'environment', 'parts', 'culture', 'institution', 'heritage', 'transparency', 'peace', 'species', 'values', 'loan', 'mile', 'content', 'civilization', 'sound', 'habitat', 'sense', 'competition', 'stocks', 'ice', 'buildings', 'wildlife']"
extend,"['extend', 'extended']","['idea', 'neck', 'hands', 'invitation', 'cuts', 'number', 'experiences', 'contract', 'deal', 'circuit', 'credit', 'tour', 'hours', 'support', 'freedoms', 'time', 'distance', 'generosity', 'power', 'tolerance', 'membership', 'draft', 'polymerisation', 'calls', 'standard', 'strptime', 'rays']"
argue,"['argue', 'argues', 'arguing']","['minority', 'commentators', 'issue', 'leader', 'others', 'means', 'process', 'one', 'amount', 'revisionists', 'trader', 'ideas', 'way', 'groups', 'prosecutors', 'anyone', 'case', 'lackland', 'counsel', 's', 'sons', 'campaign', 'paper', 'newspaper', 'week', 'state', 'scientists', 'bonds', 'materials', 'article']"
eradicate,"['eradicate', 'eradicates', 'eradicated']","['evil', 'troubles', 'craving', 'acts', 'conceit', 'attachment', 'fault', 'prejudice', 'passions', 'poverty', 'measures', 'disease', 'species', 'grudges', 'cancer', 'whoever', 'anything', 'sins', 'defilements', 'desire', 'sensations', 'remorse', 'desires']"
source,"['source', 'sources', 'sourced']","['products', 'arrange', 'content', 'deals', '%', 'crowd', 'code', 'parts']"
subside,"['subside', 'subsided']","['sensations', 'controversy', 'fury', 'waves']"
interpret,"['interpret', 'interpreted']","['texts', 'bearing', 'meaning', 'legislation', 'appeals', 'ratios', 'noises', 'artifacts', 'principle', 'idea', 'intent', 'song', 'curve', 'instructions', 'words', 'processes', 'prospectivity', 'realities', 'way', 'terrorism', 'compound', 'start', 'number', 'ways', 'name', 'mountain', 'comments', 'posting', 'force', 'countries', 'law', 'code', 'audience', 'newtime', 'reference']"
spit,"['spit', 'spits']","['slurs', 'talk', 'window', 'death', 'shirt', 'sayings', 'hapo']"
lift,"['lift', 'lifting']","['hearts', 'weights', 'baby', 'world', 'vision', 'raising', 'development', 'lid']"
spin,"['spin', 'spins']","['maze', 'counterclockwise', 'clockwise', 'cart', 'loop', 'lots', 'monsters', 'egg']"
chill,"['chill', 'chilled']","['solo', 'area', 'food']"
dissect,"['dissect', 'dissecting']","['issues', 'bill', 'impact']"
employ,"['employ', 'employing']","['communities', 'excuse', 'methods', 'concepts', 'herds', 'people', 'institutions', 'reviewing', 'feelings', 'workers', 'wealth', 'violence', 'towns', 'software', 'use', 'specialists', 'someone', 'staff', 'blackmail', 'strategies', 'today', 'devices', 'citizens', 'labour', 'women', 'methodology', 'way', 'counsellors']"
hone,"['hone', 'honed']","['days', 'parts', 'craft', 'skills']"
credit,"['credit', 'credited']","['intern', 'amount', 'rentals', 'version', 'images']"
split,"['split', 'splits']","['religion', 'party', 'stock', 'increase', 'sets', 'pizzle', 'trousers', 'case', 'estate', 'energy', 'money', 'bits', 'unity', 'country', 'word', 'sentence', 'files', 'wall', 'soup', 'euro', 'suggestion', 'characters', 'world', 'year', 'parents', 'institutions', 'way', 'votes']"
permit,"['permit', 'permits']","['criticism', 'ignorance', 'leadership', 'craving', 'circumstances', 'addresses', 'arrangement', 'bank', 'firm', 'invocation', 'abound', 'winners', 'government', 'secession', 'permissions', 'access', 'spending', 'stranger', 'elections', 'laws', 'abortions', 'family', 'time', 'issuer', 'mismanagement', 'theory', 'form', 'civilians', 'reaction', 'conversion']"
tune,"['tune', 'tuning']","['online', 'audience', 'commercials', 'people', 'novel', 'makers', 'stability', 'advertisements', 'folks']"
distribute,"['distribute', 'distributes', 'distributing']","['transmit', 'sets', 'millions', 'goods', 'display', 'comments', 'aid', 'indexer', 'hits', 'handouts']"
disguise,"['disguise', 'disguising']","['quaver', 'chaos', 'contempt', 'search']"
ease,"['ease', 'eases', 'eased']","['difficulty', 'problems', 'pain', 'international', 'killer', 'conservatives', 'tensions', 'drugs', 'nausea', 'tension', 'symptoms', 'constraints', 'shortage', 'pressures', 'way', 'goal', 'nerves', 'months', 'slope']"
hav,"['hav', 'having']","['bcos', 'equipment', 'vacation', 'hearts', 'land', 'confidence', 'problems', 'responsibility', 'nothing', 'culture', 'problem', 'vision', 'message', 'index', 'money', 'aptitude', 'mind', 'time', 'friends', 'followers', 'learning', 'purity', 'attributes', 'opinion', 'levels', 'value', 'faith', 'devotees', 'adherents', 'intention', 'quid', 'evaluation', 'sound', 'effect', 'schools', 'idols', 'fun', 'enemies', 'advantage', 'feature', 'structures', 'influence', 'look', 'authority', 'mandate', 'knowledge', 'treatment', 'surgery', 'treatments', 'anything', 'coffee', 'sight', 'form', 'items', 'something', 'interest', 'everything', 'manager', 'attack', 'infarction', 'family', 'aura', 'ride', 'buyers', 'prices', 'everyone', 'agents', 'parties', 'night', 'access', 'challenges', 'gods', 'law', 'drums', 'holes', 'set', 'need', 'things', 'kind', 'options', 'marketing', 'hours', 'characteristics', 'terminals', 'someone', 'day', 'office', 'workspace', 'name', 'validation', 'soccer', 'light', 'iwan', 'flower', 'committee', 'plan', 'sister', 'gazers', 'scan', 'planets', 'stick', 'nature', 'up', 'accounts', 'resident', 'category', 'sense', 'difficulty', 'deal', 'mugs', 'challenge', 'leaders', 'space', 'cover', 'bit', 'restrictions', 'patients', 'fights', 'concentration', 'odor', 'weight', 'minds', 'team', 'lot', 'house', 'layout', 'frequency', 'period', 'thickness', 'moutpiece', 'reed', 'magnitude', 'director', 'abundance', 'meltdown', 'affair', 'wife', 'wine', 'history', 'illness', 'person', 'voices', 'thoughts', 'dollars', 'card', 'child', 'relationship', 'goals', 'abortion', 'hunt', 'electorate', 'tantrum', 'element', 'life', 'bill', 'thought', 'feelings', 'partner', 'backbone', 'trouble', 'media', 'garment', 'picnic', 'government', 'information', 'harddrive', 'issue', 'input', 'discussion', 'bomb', 'system', 'country', 'worlds', 'citizens', 'sort', 'season', 'ability', 'talent', 'husbands', 'priority', 'chance', 'willingness', 'move', 'credit', 'sweetness', 'hand', 'giveaway', 'kids', 'watchman', 'apartment', 'sheep', 'heart', 'massage', 'breakfast', 'commitment', 'laws', 'outcomes', 'results', 'room', 'top', 'factor', 'elevator', 'wardrobe', 'type', 'stall', 'lordship', 'vote', 'conversations', 'audience', 'lyrics', 'drink', 'outlook', 'opinions', 'ball', 'party', 'hootenanny', 'body', 'demands', 'economy', 'impact', 'doses', 'agenda', 'condoms', 'debate', 'impacts', 'action', 'employees', 'one', 'outbreak', 'herpes', 'sex', 'shape', 'pairs', 'treasure', 'ceremonies', 'success', 'motivation', 'people', 'baby', 'week', 'pregnancy', 'fishing', 'player', 'markings', 'infidelity', 'cheating', 'bunch', 'brother', 'care', 'quarters', 'officers', 'panes', 'timeouts', 'power', 'species', 'c', 'kid', 'thing', 'crisis', 'accidents', 'addresses', 'laugh', 'children', 'leadership', 'bands', 'expertise', 'specialists', 'number', 'budget', 'strategy', 'website', 'identity', 'today', 'agency', 'starts', 'chairs', 'opposition', 'women', 'intercourse', 'twists', 'stroll', 'bedrooms', 'tunnel', 'glasses', 'moment', 'contract', 'holibobs', 'representation', 'minutes', 'loads', 'resources', 'tea', 'dinner', 'flowers', 'vendors', 'gowns', 'universities', 'education', 'visa', 'flavour', 'choice', 'environment', 'job', 'experience']"
desire,"['desire', 'desires', 'desired']","['world', 'hereafter', 'followers', 'realms', 'bliss', 'supremacists', 'majesty', 'whom', 'parties', 'inquisition', 'tech', 'sensations', 'entanglement', 'coolness', 'outcomes', 'hire', 'states', 'flowers']"
remind,"['remind', 'reminds']","['details', 'time', 'voice', 'http', 'dynamics', 'people', 'someone', 'post', 'omelettes', 'anything', 'note', 'boss', 'past', 'yourselves', 'publishers', 'fact', 'book', 'fans', 'death', 'step', 'today', 'devil', 'article', 'users', 'town', 'stroll', 'parts', 'children', 'expression']"
right,"['right', 'righting']","['cowardice', 'wrong', 'ship', 'yacht', 'remains', 'time', 'sinking', 'boat']"
crowd,"['crowd', 'crowded']","['funding', 'enterprises', 'surf', 'spot', 'investment', 'momo', 'clinic', 'morning', 'sidelines']"
begin,"['begin', 'begins']","['paragraph', 'estel', 'tragedy', 'hour', 'session', 'array', 'story', 'winner', 'career', 'defilement', 'function', 'life', 'ventures', 'journey', 'theory', 'light', 'power', 'war', 'law', 'one', 'judgment', 'thinking', 'race', 'course', 'service', 'man', 'yolk', 'lake', 'mountain', 'battering', 'plan', 'project', 'production', 'government', 'task', 'merger', 'tailgate', 'holiday', 'world', 'suffering', 'water', 'quality', 'book', 'voice', 'walk', 'sex', 'sonata', 'horror', 'issue', 'time', 'characters', 'paper']"
animate,"['animate', 'animates']","['inanimate', 'data', 'music']"
creep,"['creep', 'creeping']","['law', 'construction', 'mass', 'approach', 'thing', 'economy']"
slither,"['slither', 'slithering']","['way', 'scales', 'notes', 'tongue']"
administer,"['administer', 'administering']","['content', 'structures', 'millions', 'staff', 'medication', 'companies', 'system', 'justice', 'studies']"
sow,"['sow', 'sows']","['mangoes', 'nothing']"
wrap,"['wrap', 'wraps']","['star', 'victory', 'fans', 'heads', 'object', 'mind', 'standard', 'diner', 'skin', 'clock', 'wound', 'drapery', 'one']"
support,"['support', 'supports']","['world', 'brother', 'software', 'foundation', 'nations', 'war', 'filmmakers', 'management', 'photos', 'flickr', 'worldview', 'products', 'horse', 'weight', 'gingerbread', 'function', 'evidence', 'preferences', 'view', 'services', 'rates', 'connectivity', 'people', 'migration', 'possibility', 'system', 'plan', 'acquisition', 'theme', 'hostname', 'efforts', 'constitutionalism', 'groups', 'encore', 'liberalisation', 'ambition', 'theory', 'engages', 'deficit', 'recovery', 'browser', 'finding', 'claims', 'faith', 'comment', 'income', 'remains', 'exercise', 'mentality', 'initiative', 'farmers', 'public', 'opt', 'format', 'modifier', 'flags']"
avail,"['avail', 'availed']","['wealth', 'rider', 'package', 'confession', 'sympathy']"
offer,"['offer', 'offers']","['comfort', 'lives', 'views', 'outpost', 'cuisine', 'oblations', 'charity', 'donations', 'gifts', 'gift', 'benefactors', 'flower', 'advice', 'traveler', 'chance', 'items', 'businesses', 'shares', 'type', 'students', 'scholarships', 'alternative', 'guarantee', 'ray', 'units', 'table', 'space', 'prayers', 'heartfelt', 'workers', 'wear', 'entertainment', 'deal', 'trampoline', 'salary', 'villas', 'lakes', 'glimpses', 'sacrifice', 'keys', 'meals', 'grants', 'range', 'clinics', 'service', 'chapter', 'offer', 'groups', 'support', 'projects', 'program', 'power', 'timetable', 'training', 'number', 'protection', 'solution', 'talks', 'staff', 'security', 'races', 'opportunity', 'user', 'illustrations', 'wickets', 'assistance', 'numbers', 'indication', 'avaisnava', 'anything', 'food', 'planets', 'guides', 'novels', 'picture', 'manufacturing', 'moon', 'necklace', 'resistance', 'consumers', 'products', 'life', 'maps', 'station', 'variety', 'visitors', 'control', 'series', 'experiences', 'subscribers', 'misdirect', 'forms', 'care', 'account', 'hope', 'coverage', 'services', 'variation', 'host', 'information', 'rules', 'guidance', 'apology', 'troops', 'concessions', 'opinion', 'countries', 'possibilities', 'standards', 'model', 'attorney', 'offenders', 'fine', 'level', 'bargaining', 'means', 'doctors', 'teens', 'bonuses', 'tasks', 'mother', 'officer', 'shot', 'third', 'guests', 'options', 'combination', 'photographers', 'certificate', 'suggestions', 'capabilities', 'thanks', 'time', 'systems', 'meat', 'areas', 'classes', 'incentives', 'agreement', 'initiatives', 'prospects', 'bribe', 'money', 'customers', 'bankers', 'companies', 'glaciers', 'problems', 'wetness', 'pleasure', 'explanation', 'overview', 'places', 'side', 'answers', 'value', 'hand', 'slow', 'loans', 'buddy', 'refreshment', 'insights', 'discounts', 'therapies', 'relief', 'lunch', 'voucher', 'promotion', 'reward', 'tours', 'perspectives', 'ones', 'commentary', 'insurers', 'benefits', 'percent', 'employees', 'instant', 'rooms', 'readers', 'insight', 'access', 'cinema', 'none', 'child', 'home', 'design', 'restaurants', 'foods', 'specialty', 'pubs', 'music', 'walks', 'consultant', 'refunds', 'materials', 'sheet', 'contracts', 'months', 'plenty', 'hearts', 'thoughts', 'something', 'wolves', 'threat', 'anyone', 'clicks', 'guarantees', 'photos', 'system', 'candles', 'response', 'prospect', 'education', 'businesswomen', 't', 'resort', 'fleet', 'selection', 'excursions', 'record', 'site', 'nature', 'year', 'scholarship', 'waivers', 'illustration', 'lift', 'contrast', 'microcosm', 'fares', 'bidder', 'price', 'shops', 'museum', 'internet', 'everything', 'view', 'ability', 'lot', 'hours', 'change', 'devotee', 'foodstuffs', 'devotion', 'movie', 'article', 'relationship', 'experience', 'process', 'division', 'stage', 'condolences', 'programming', 'platforms', 'point', 'story', 'example', 'minimum', 'need', 'body', 'argument', 'techniques', 'jobs', 'style', 'leader', 'flexibility', 'stay', 'hotel', 'total', 'boutique', 'park', 'counterpoint', 'mechanisms', 'man', 'location', 'ticket', 'nothing', 'degree', 'graduates', 'flowers', 'delivery', 'world', 'spirit', 'festival', 'mix', 'legislation', 'promises', 'emancipation', 'proposal', 'answer', 'branding', 'dsl', 'pre', 'plans', 'society', 'website', 'list', 'structures', 'evening', 'simhost', 'authors', 'top', 'approach', 'advantages', 'tips', 'bags', 'review', 'venue', 'avenue', 'accommodation']"
safeguard,"['safeguard', 'safeguarded']","['deed', 'neighbours', 'victories']"
crumble,"['crumble', 'crumbles', 'crumbling']","['country', 'pack', 'bulwark']"
