0,1
reported,"['Chapter', 'b', ""al-'Aqqad"", 'historians', 'ones', 'request', 'what', 'account', 'incident', 'who', 'words', 'fire', 'Chelsea', 'jaundice', 'deaths', 'sources', 'leak', 'danger', 'yesterday', 'symptoms', 'increase', 'story', 'year', 'media', 'company', 'loss', 'earnings', 'margin', '%', 'today', 'developer', 'results', 'Meteorologists', 'week', 'authorities', 'organization', 'foundation', 'revenues', 'newspaper', 'witnesses', 'damage', 'cows', 'willingness', 'arrival', 'matter', 'researchers', 'changes', 'caves', 'decision', 'cards', 'facts', 'bodies', 'site', 'night', 'percent', 'rival', 'action', 'everything', 'limitation', 'police', 'ups', 'research', 'numbers', 'number', 'crime', 'mp', 'cases', 'cut', '@', 'shows', 'oil', 'florescence', 'officials', 'condition', 'status', 'allegation', 'journalist']"
affiliated,['who']
strewn,['body']
uplifting,['soul']
elaborate,"['percentage', 'implications']"
climbed,"['market', 'stair', 'bridge', 'route', 'volcanoes', 'who', 'times', 'pilots', 'bit', 'people', 'stairs']"
reports,"['what', 'testimony', 'b', 'who', 'anything', 'hadith', 'someone', 'archaeologists', 'Time', 'time', 'paper', 'screening', 'rape', 'position', 'ground', 'online', 'concern', 'media', 'table', 'curve', 'quantity', 'amount', 'ABS', 'worker', '@', 'student', 'tmzone', 'abbreviation']"
Choosing,['name']
reactivates,['membership']
indulging,['doggie']
divide,"['who', 'rule', 'people', 'units', 'power', 'applications', 'arteries', 'politicians', 'enemy', 'pieces', 'country', 'language', 'gender', 'conquer', 'foods', 'assignment', 'posts', 'number']"
subtracts,['expenses']
criticise,"['umpire', 'effort', 'Qur', 'position', 'policies', 'fact', 'government', 'who', 'politics']"
explained,"['book', 'sunna', 'deed', 'action', 'who', 'discourse', 'method', 'death', 'individual', 'matter', 'answers', 'attribute', 'vices', 'meaning', 'verse', 'means', 'company', '@', 'source', 'FN#114', 'wager', 'process', 'problem', 'statistics', 'love', 'light', 'pros', 'situation', 'help', 'night', 'decision', 'week', 'director', 'reason', 'rights', 'issue', 'calculations', 'orbit', 'problems', 'one', 'meanings', 'aspect', 'owner', 'cows', 'guide', 'm', 'day', 'structure', 'things', 'driver', 'connection', 'time', 'counsellor']"
lengthen,"['interval', 'wait']"
replace,"['car', 'scrap', 'forms', 'header', 'incumbent', 'president', 'nothing', 'monarchy', 'institutions', 'care', 'parts', 'judge', 'version', 'PM', 'printer', 'method', 'foundries', 'children', 'milk', 'one', 'station', 'leaders', 'extract', 'moron', 'word', 'rule', 'oil', 'commas', 'parentheses', 'slash', 'ones', 'system', 'feeling', 'thoughts', 'aids', 'years', 'batteries', 'banks', 'money', 'stations', 'renewables', 'meteorologists', 'isobars', 'front', 'northwesterlies', 'moves', 'name', 'workers', 'c', 'case', 'who', 'manufacturer', 'riders', 'tires']"
brought,"['what', 'wrath', 'letter', 'group', 'books', 'accident', 'practices', 'system', 'downturns', 'change', 'win', 'memories', 'people', 'gem', 'cases', 'kinds', 'who', 'existences', 'aspects', 'father', 'woman', 'office', 'book', 'hand', 'nomination', 'tally', 'persons', 'fact', 'opposite', 'party', 'application', 'child', 'rebellion', 'body', 'collections', 'justice', 'girl', 'moment', 'explanation', 'level', 'shout', 'head', 'tune', 'clergy', 'evacuation', 'title', 'actions', 'artists', 'talents', 'growth', 'changes', 'culprits', 'rate', 'past', 'action', 'results', 'care', 'resurgence', 'team', 'community', 'lamps', 'barber', 'night', 'darkness', 'slaves', '@', 'candles', 'pot', 'saucer', 'day', 'villagers', 'camel', 'experience', 'depth', 'reputation', 'benefit', 'estates', 'items', 'fisherman', 'rule', 'face', 'news', 'papers', 'work', 'engines', 'transformations', 'baby', 'farm', 'tour', 'invitation', 'profession', 'notches', 'benefits', 'transitions', 'study', 'prestige', 'plate', 'engineer', 'couch', 'Artists', 'museums', 'century', 'warnings', 'filmmaker', 'passion', 'issue', 'giants', 'element', 'food', 'design', 'contingent', 'year', 'occupation', 'machine', 'hath', '2000s', 'movement', 'pillar', 'light', 'staff', 'today', 'crates', 'Building', 'leaders', 'volunteers', 'someone', 'morning', 'fall', 'Range', 'descent', 'am', 'train', 'photographer', 'versions', 'police', 'folk', 'workers', 'beliefs', 'riches', 'anger', 'breath', 'camels', 'capitalism', 'race', 'water', 'laugh', 'bigotry', 'river', 'sprout', 'plunder', 'liberation', 'violence', 'parents', 'bags', 'drinks', 'boom', 'crime', 'loss', 'confusion', 'guy', 'board', 'guest', 'burst', 'sense', 'downfall', 'war', 'technologies', 'series', 'desire', 'artillery', 'capture', 'forces', 'campaigns', 'lives', 'mansion', 'fire', 'expertise', 'arm', 'blues', 'source', 'laptop', 'charges', 'repression', 'years', 'daughter', 'shame', 'trust', 'act', 'biography', 'earthquake', 'horrors', 'games', 'anything', 'prize', 'words', 'novella', 'stigma', 'poaching', 'word', 'africa', 'arrival', 'hope', 'chocolate', 'tonight']"
scoffed,['who']
sunlit,['seat']
drys,['hair']
cheating,"['stealing', 'collaboration', 'cheating', 'who']"
spoke,"['truth', 'whosoever', 'clubs', 'aputta', 'who', 'yesterday', 'speakers', 'man', 'meaning', 'lot', 'day', 'leader', 'therapists', 'members', 'setup', 'leaders', '@', 'mother']"
browse,"['photosets', 'users', 'pages', 'website', 'stock', 'internet', 'montage']"
exhort,['people']
unroll,"['condom', 'way']"
occupying,"['grandparents', 'territory', 'zone']"
untie,['lifeboats']
strike,"['earth', 'genres', 'chord', 'balance', 'sail', 'workforce', 'independents', 'deal', 'target', 'blow']"
heralded,"['era', 'downfall', 'start']"
standardized,['format']
relax,"['locals', 'knee', 'guides', 'Reflection', 'guests', 'guest']"
benefiting,"['relationship', 'U', 'society', 'producers', 'regions', 'capital']"
hurt,"['who', 'type', 'ego', 'death', 'anyone', 'things', 'people', 'failure', 'sanguine', 'area', 'wickets', 'startup', 'head', 'fly', 'feet', 'U', 'labour', 'men', 'women', 'code', 'feelings', 'hosts', 'today', 'members', 'ears', 'country', 'concept', 'anybody', 'climbers', 'team', 'mom', 'year', 'lot']"
Inform,['boss']
standardizes,"['score', 'marks']"
tying,"['things', 'stone']"
foregrounds,['aesthetic']
recommand,['place']
locked,"['eror', 'arrangements', 'doors', 'gate', 'exits', 'jaw', 'gates', 'sides', 'majority', 'cards', 'edges', 'who', 'domain', 'Land', 'cat', 'bike', 'land']"
pursue,"['art', 'things', 'prosperity', 'wealth', 'ambitions', 'story', 'detente', 'case', 'angles', 'matter', 'argument', 'company', 'opportunities', 'who', 'activities', 'pact', 'policy', 'goals', 'fulfill', 'path', 'researcher', 'link', 'programs', 'purpose', 'education', 'options', 'producers', 'strategies', 'Police', 'enquiries']"
sweeten,['bean']
plunged,"['prices', 'temperature']"
outscore,['opposition']
sandies,"['pecan', 'bag']"
exhale,"['fingers', 'puff']"
rework,['song']
Handle,['Kiss']
example,['perks']
triple,['quantity']
utlise,['library']
organized,"['diary', 'program', 'clans', 'debate', 'debates', 'house', 'events', 'meeting', 'forces', 'government', 'haphazard', 'who', 'installation', 'bands', 'coop', 'transition']"
bhaved,['evam']
collaborate,"['who', 'universities']"
reviewing,"['terms', 'order', 'plan', 'margin', 'time', 'year', 'Things', 'options']"
Holding,"['light', 'poop', 'bond']"
organizes,['highlights']
hog,['heaven']
complaining,"['fans', 'point', 'month', 'Everyone', 'people', 'night']"
dimple,['trademark']
travel,"['distance', 'day', 'sport', 'pain', 'who', 'path', 'lots', 'pathway', 'class', 'jeep', 'km', 'light', 'today', 'part', 'parties', 'waves', 's', 'segment', 'h', 'hundreds', 'air', 'length', 'car', 'playing', 'visitors', 'rest', 'generals', 'coach', 'miles', 'distances']"
drying,"['film', 'paddy', 'point']"
damage,"['creeps', 'handling', 'condoms', 'system', 'video', 'support', 'production', 'growth', 'website']"
revisit,"['interest', 'subjectin', 'year', 'role', 'mixture', 'decision', 'shops', 'facts', 'issue']"
hop,['players']
utilise,"['technology', 'option', 'nouse', 'who', 'software', 'experience', 'capability', 'tools']"
typed,"['Format', 'submissions', 'sides', 'diary', 'assignment', 'someone', 'replies', 'code', 'things']"
minimized,"['blemishes', 'reluctance', 'modifications']"
outlawed,"['procedures', 'slavery', 'government', 'practices', 'miracles']"
HEAR,['ME']
reassess,['security']
destined,"['who', 'something', 'goods', 'version']"
sentencing,"['people', 'who', 'criminals', 'day']"
minimizes,['amount']
marginalize,"['extremists', 'revolution', 'currents']"
choking,['paddock']
remaims,"['building', 'dream']"
wins,"['contests', 'supremacism', 'hands', 'race', 'who', 'case', 'battle', 'relay', 'records', 'Everyone', 'pony', 'one', 'fight', 'government', 'bungling', 'public', 'poll', 'takeback', 'thanks', 'body', 'days']"
attracts,"['attention', 'thinking', 'wealth', 'provokes', 'remuneration', 'love', 'walkers']"
revolt,['people']
scoffs,['brochures']
sickening,['idea']
keeps,"['hold', 'who', 'fast', 'X', 'cache', 'stance', 'bones', 'SEO', 'others', 'traditions', 'none', 'exudes', 'troops', 'person', 'company', 'track', 'index', 'information', 'crawler', 'connections', 'bullets', 'base', 'firing', 'economy', 'people', 'place', 'what', 'museum', 'government', 'competition', 'records', 'moisture', 'What', 'interest', 'instrument', 'word', 'stuff', 'line', 'lot', 'cats', 'tree', 'man', 'job', 'bristles']"
wind,"['way', 'Tonight']"
Emigrating,"['Person', 'year']"
subordinating,['egos']
feedback,"['player', 'author']"
welcomed,"['saying', 'man', 'industry', 'report', 'speculation', 'Applications', 'city', '@', 'change', 'proposal', 'opposition', 'people', 'move', 'troops', 'Comments', 'signing', 'guests']"
dreamed,"['night', 'girls']"
vary,"['People', 'topics', 'cost', 'treatments', 'rights', 'emphases', 'availability', 'percentages', 'things', 'orders', 'length', 'readings', 'performance', 'conditions', 'party', 'rates', 'contents', 'sauce', 'Symptoms', 'number', 'features', 'cloud', 'Cost', 'figures', 'range', 'services', 'operation', 'powers', 'computers', 'implementations']"
partnered,"['poll', 'who']"
reproche,"['sans', 'gallant']"
Rated,"['ficlette', 'death', '-Prisoners-', 'Second', 'Day-', 'G', 'Vignette', 'prince', 'series', 'Link-', '-Straight', 'Paths-', 'foes', 'Fear-', 'disease', 'X']"
enquiring,['reason']
rewarded,"['who', 'faithfulness', 'inventors']"
wrought,"['body', 'hast', 'humility', 'changes']"
welcomes,"['submissions', 'review', 'everyone', 'delusion', 'athletes', 'spectators']"
conned,['sector']
Hit,"['story', 'flag', 'button', 'children']"
fit,"['sizes', 'criteria', 'families', 'brief', 'bill', 'sense', 'sky', 'needs', 'who', 'description', 'forms', 'mold', 'level', 'lexicon', 'barrels', 'engine', 'progression', 'user', 'peg', 'shape', 'observations', 'behaviour', 'guidelines', 'comments', '%', 'paradigm', 'detail', '@', 'pickguard', 'type', 'demographic', 'pocket', 'people', 'space', 'times', 'PERFECTLY', 'year']"
screaming,"['person', 'hippy', 'Others', 'time', 'name', 'obscenities', 'bent']"
fix,"['car', 'things', 'democracy', 'what', 'love', 'deficits', 'economy', 'problems', 'problem', 'issue', 'amount', 'line', 'eyes', 'issues', 'box', 'power', 'boat', 'culture', 'schools', 'leaders', 'roads', 'mess']"
secede,"['state', 'borders', 'people']"
matured,['knowledge']
hidden,"['realities', 'things', 'application', 'applications', 'show', 'opposition', 'logs', 'information', 'fact', 'details']"
devoting,['week']
undercut,['influence']
glorify,['name']
enrich,"['experience', 'anybody', 'discussion', 'relationships']"
commemorate,['anniversary']
educating,"['girls', 'women', 'people', 'users', 'children', 'deniers', 'world', 'yourselves', 'family']"
mongering,"['fear', 'war']"
elevates,"['discourse', 'soul']"
interrupt,"['current', 'Men', 'peace', 'call']"
rumour,['who']
represents,"['energy', 'emissions', 'result', 'point', 'month', 'difference', 'venture', 'enterprise', 'branch', 'sequence', 'escalation', 'picture', 'estimate', 'number', 'relationship', 'series', 'interest', 'association', 'allocutio', 'opportunity', 'ratio', 'price', 'value', 'stuff', 'revolution', 'experiences', 'range', 'staff', 'half', 'exhibition', 'shifts', 'action', 'doclist', 'occurrences', 'failure', 'line', 'thesis', 'organization', 'pressure', 'desire', 'Americans', 'flow', 'cash', 'order', 'mechanism', 'people', 'approach', 'city', 'array', 'data', 'interface', 'room', 'willingness', 'hope', 'example', 'amount', 'graph', 'height', 'group', 'application', 'content', 'views', 'interests', 'constraint', 'accumulation', 'part', 'promise', 'situation', 'who', 'employers', 'ankh', 'totality', 'digit', 'state', 'step', 'change', 'feather', 'knots', 'ones', 'crisis', 'industry', 'child', 'education', 'spirit', 'herein', 'judgment', 'probability', 'knowledge', 'moment', 'improvement', 'issue', 'milestone', 'volume', 'structure', 'time', 'struct', 'bandwidth', 'accuracy', 'error', 'dispersion', 'counter', 'leaf', 'something', 'length']"
Auditioning,['term']
towered,['climb']
guage,['decency']
dumps,['water']
clothed,"['trader', 'creature', 'purposes']"
sanctioning,['loan']
addicted,['media']
queued,['who']
preceded,"['who', 'religions', 'others', 'laying', 'reputation', 'questions', 'sentence', 'what', 'sentences']"
telescope,['incidents']
contravene,['rules']
blinder,['Ez']
contracting,['evolves']
Recognizing,['need']
depositing,"['sixes', 'cash']"
precedes,"['precedes', 'game']"
ameliorate,"['care', 'difficulties', 'condition']"
blinded,"['eyes', 'treatment', 'eye', 'ideologues', 'who']"
whip,"['crowd', 'recipes']"
borne,"['precepts', 'brunt', 'cost', 'insect', 'tick', 'face', 'expression', 'burden', 'air']"
forwarding,"['application', 'copy']"
recognising,"['e', 'task', 'suzerainty']"
waive,"['Failure', 'right', 'term', 'rights', 'charges', 'player']"
excepting,"['Nabawee', 'ones']"
re,"['Users', 're', 'borders', 'theater', 'victim', 'penniless', 'tollbooth', 'who', 'obsession', 'position']"
encourage,"['parents', 'child', 'attitude', 'understanding', 'brethren', 'entrepreneurship', 'students', 'factions', 'politicians', 'others', 'investment', 'government', 'companies', 'name', 'killing', 'research', 'friends', 'friend', 'phenomena', 'businesses', 'diversity', 'innovation', 'liberty', 'reflection', 'collaboration', 'range', 'subscribers', 'rates', 'testing', 'abortions', 'creativity', 'attention', 'culture', 'resolution', 'teens', 'step', 'breakfast', 'links', 'confidence', 'symbolise', 'ideas', 'children', 'vision', 'who', 'everyone', 'contracts', 'use', 'interaction', 'saving', 'people', 'sofas', 'loafing', 'generation', 'climate', 'reading', 'booking', 'participation', 'farmers', 'synergy']"
adapt,"['comics', 'staff', 'humans', 'algorithm', 'bowlers', 'quicks', 'time', 'who', 'work', 'approach']"
Photosurfer,['software']
Exercises,['mind']
tingling,"['horn', 'bell']"
stamping,"['penny', 'mark', 'practice']"
assured,"['reap', 'rest', 'victims', 'things', 'president', 'mother', 'population', 'committee', 'scuff', 'while', 'who', 'constituents', 'precautions', 'work', 'welcome', 'Confidence', 'self', 'users', 'farmers']"
Work,"['Transition', 'partner']"
threatened,"['who', 'life', 'war', 'nation', 'mumbo', 'Scandal', 'orators', 'slots', 'jobs', 'women', 'mutilation', 'site', 'powers', 'tensions', 'survival', 'government']"
Worn,['places']
assures,['friend']
encountering,"['sensation', 'novel', 'defeat']"
crowned,"['queen', 'legislation', 'player', 'mountain', 'winner', 'torture', 'BOND']"
estimate,"['Analysts', 'costs', 'correlation', 'year', 'users', 'penalty', 'experts', 'amount', 'scientists', 'forecasters', 'deaths']"
obstructing,"['police', 'officer']"
competes,"['one', '@']"
ate,"['meats', 'sufficiency', 'time', 'apple', 'style', 'steak', 'meal', 'What', 'dogs', '@', 'spending', 'dish', 'bowls', 'who', 'article', 'piece']"
secularise,['society']
exposing,"['paper', 'Pre', 'impediment', 'minds', 'silages', 'material', 'lies', 'rites']"
shelved,"['story', 'question', 'investigation']"
bookmark,['portion']
shipped,"['thousands', 'jobs', 'loads', 'potatoes', 'east', 'tablets', 'units']"
disturbed,"['colleague', 'yourselves', 'men']"
competed,"['championship', 'cup', 'enthusiast', 'bank', 'disciplines']"
tempting,['buds']
reserving,['space']
repealed,['laws']
symbolize,['essence']
speeds,"['process', 'bit', 'freeway', 'function']"
disfigured,['forehead']
u'entering,"[""u'parliament""]"
shopped,['photo']
wash,"['sand', 'hands', 'resin', 'cars', 'results', 'flesh', 'masses', 'immigrants', 'counters', 'years', 'car', 'face', 'bits']"
spinning,"['world', 'balloon', 'wheels', 'profit', 'head']"
sallied,['daughters']
renovated,['part']
service,"['outfit', 'government', 'debts', 'needs']"
returns,"['smile', 'skin', 'province', 'product', 'number', 'condition', 'page', 'strategy', 'documents', 'results', 'maximum', 'method', 'object', 'parameter', 'data', 'attribute', 'string', 'bunch', 'time', 'child', 'night', 'customer', 'student', 'governor', 'function', 'clock', 'value', 'times', 'information', 'pointer', 'mktime', 'buffer', 'strftime', 'code', 'returns']"
touting,"['goods', 'appearances']"
needed,"['apology', 'hearts', 'creator', 'what', 'who', 'service', 'document', 'skills', 'What', 'input', 'laws', 'attention', 'pressure', 'treatment', 'elections', 'countries', 'space', 'medicines', 'blood', 'role', 'ways', 'troops', '@', 'information', 'book', 'peoples', 'voice', 'vision', 'break', 'school', 'cigarette', 'runs', 'writers', 'effort', 'hires', 'tool', 'Reforms', 'kilograms', 'death', 'software', 'upgrading', 'way', 'strategy', 'figures', 'someone', 'technology', 'advertisements', 'leadership', 'multiplayer', 'trucks', 'votes', 'gauge', 'lights', 'bedding', 'comma', 'references', 'things', 'complex', 'expertise', 'one', 'time', 'brother', 'practice', 'case', 'samples', 'licences', 'woman', 'anything', 'increases', 'text', 'side', 'approaches', 'government', 'mandate', 'public', 'patterns', 'lot', 'shade', 'citation', 'change', 'money', 'jurors', 'help', 'action', 'approval', 'loan', 'bases', 'allies', 'days', 'therapy', 'miracle', 'penny', 'media', 'rabbit', 'leader', 'warrant', 'Change', 'hit', 'sections', 'characters', 'picker', 'awareness']"
master,"['art', 'mazes', 'contents', 'species', 'syntax', 'machine', 'mroe', 'game', 'math', 'skill']"
listed,"['boss', 'name', 'crimes', 'members', 'ed', 'who', 'way', 'love', 'song', 'room', 'price']"
ranging,['organizing']
listen,"['who', 'others', 'movies', 'lion', 'king', 'world', 'inhabitants', 'public', '%', 'offers', 'comfort', 'anyone', 'errybody', 'amusement', 'people', 'remix', 'family', 'women', 'sheep', 'party', 'kuti']"
rewards,['meritocracy']
collapse,"['window', 'people', 'government', 'fuels', 'demand', 'banks', 'civilization', 'economies']"
rectified,"['engineers', 'problems', 'yesterday', 'hurt']"
defaulted,['couple']
crawl,"['system', '@', 'game']"
trek,['who']
showed,"['path', 'pipe', 'valve', 'signs', 'who', 'attorney', 'survey', 'range', 'preference', 'analysis', 'response', 'car', 'honour', 'sheen', 'web', 'interactions', 'years', '@', 'courage', 'mettle', 'tons', 'study', 'interest', 'son', 'improvement', 'family', 'multiplicity', 'things', 'growth', 'rate', 'proportion', 'research', 'percent', 'map', 'laws', 'surveys', 'stuff', 'eyes', 'state', 'earnings', 'birthday', 'countries', 'disposition', 'self', 'judgments', 'data', 'sign', 'findings', 'company', 'world', 'power', 'differences', 'condition', 'change', 'picture', 'photos', 'deaths', 'comparisons', '%', 'legs', 'Findings', 'boys', 'resilience', 'nothing', 'curiosity', 'complexions', 'tester', 'estimates', 'productivity', 'murder', 'figures', 'Storm', 'love', 'investigation', 'success', 'folks', 'report', 'jumper', 'potential', 'name', 'project', 'apology', 'dudes', 'slide', 'minutes', 'anything', 'gumption', 'attempt', 'promise', 'memo', 'ability', 'counsellor', 'bear', 'empathy']"
outlaw,['shoots']
eradicating,"['attachment', 'bonds']"
project,"['image', 'people', 'studies', 'anyone', 'pattern', 'ray']"
endure,"['darkness', 'pain', 'kinds', 'suffering', 'discourses', 'others', 'losses', 'strains', 'conditions', 'disappointment']"
feeling,"['grief', 'brothers', 'time', 'effect', 'beings', 'vibrations', 'individuals', 'state', 'lot', 'voters', 'petticoat', 'way', 'what', 'pair', 'mum', 'countries', 'strain', 'symptoms', 'type', 'absence', 'water', 'connection', 'anything', 'effects', 'pain', 'hosts', 'pinch', 'folks', 'work', 'tonight']"
entail,"['elimination', 'term', 'production', '@', 'fact', 'revolution', 'emissions', 'upgrading']"
objects,['institution']
fasts,"['who', 'person']"
relaunches,"['founder', 'platform', 'year']"
increment,"['array', 'address', '@']"
urinate,['blood']
promenaded,['girls']
soaked,"['blood', 'vibe', 'rain', 'third', 'instrument']"
recommended,"['diplomat', 'alliance', 'help', 'makers', 'therapist', 'magazine', 'method', 'aids', 'surgeon', 'implants', 'What', 'users', 'remake', 'WHO', 'treatment']"
causing,"['increase', 'rout', 'cut', 'sight', 'pain', 'death', 'injury', 'sensations', 'interference', 'cancer', 'disappearance', 'consternation', 'urticaria', 'depression', 'damage', 'allergy', 'tablets', 'upset', 'delay', 'factors', 'concern', 'pollution', 'Coal', 'impacts', 'waste', 'kink', 'use', 'massacre', 'pesticides', 'cancers', 'aspects', 'what', 'problems', 'points', 'dieback', 'disease', 'harm', 'THOUSANDS', 'paralysis', 'hand', 'trouble', 'STDs', 'rain', 'effects', 'inflation', 'terror', 'trauma', 'embarrassment', 'movement', 'plenty', 'handful', 'degradation']"
absorbed,"['mind', '@', 'teachers', 'doctrines', 'absurdities', 'none', 'light', 'sound', 'deal', 'self', 'nations', 'collagen']"
Ask,"['district', 'wilt', 'teacher', 'questions', 'citizens', 'rioter', 'someone', 'guy', 'people', 'government']"
conceeded,['Election']
committing,"['Sin', 'deeds', 'evils', 'murder', 'offence', 'acts', 'suicide', 'crime', 'immorality', 'mistakes', 'money', 'enemies', 'error']"
Announcing,['release']
shall,"['scheduler', 'disclosure', 'return']"
Fulfilling,['rights']
screwing,"['man', 'things', 'scent']"
doin,['what']
object,"['employers', 'birth', 'who', 'people']"
diminishing,"['conflicts', 'corner', 'image']"
looming,['shadow']
eliminates,"['tariffs', 'possibility']"
simplify,"['mission', 'study']"
reverence,['sanctuary']
conceded,"['bowler', 'runs', 'Wickets', 'clock', 'penalty']"
resonated,"['message', 'what']"
dangled,['feet']
cops,['lot']
emailing,"['managers', 'update']"
ragnarok,['things']
purged,"['who', 'reformers', 'people']"
